日付,格言,発言者,解説
01-01,"群れから離れるたびに、私はたくさんのお金を稼いできました。行動から離れることは、新しい行動を見つける方法です。(Nearly every time I strayed from the herd, I've made a lot of money. Wandering away from the action is the way to find the new action.)",ウォール街の名言,
01-02,買いたい弱気 売りたい強気,日本の相場格言,希望的観測にとらわれ、買いたいのに弱気で売ったり、売りたいのに強気で買ったりする心理の逆転を戒める。
01-03,"10 月: これは、株の投機にとって特に危険な月の 1 つです。その他は、7 月、1 月、9 月、4 月、11 月、5 月、3 月、6 月、12 月、8 月、2 月です。 (October: This is one of the peculiarly dangerous months to speculate in stocks. The others are July, January, September, April, November, May, March, June, December, August and February.)",ウォール街の名言,
01-04,1月効果,アノマリー,マーケットにおける1月の収益率が、ほかの月よりも高くなりやすい現象のことである。「年末に税金対策としての売りが出やすくなる」「年が明けると新たな資金流入がしやすくなる」などが原因といわれている。
01-05,年末ラリー,アノマリー,文字どおり年末にかけて株価が上昇するというアノマリーのこと。年末、クリスマス休暇を取る市場参加者が増えてくると、売り圧力が弱まって株高になるため「サンタクロースラリー」とも呼ばれる。
01-06,向かう理は、高きを売りて安きを買う。米商いの大秘密と知れ。,三猿金泉秘録,
01-07,リスクは排除することはできず、移転・拡散されるだけだ(Risk cannot be eliminated; it just gets transferred and spread.),ウォール街の名言,
01-08,どのトレードにおいても、総資産の1％以上のリスクを取るな,ラリー・ハイト,資産を守るには、リスク管理が不可欠であり、1回の取引に対して資産の1％以上の損失を許容しないことが基本である。特に初心者にとって重要な投資の原則として、常に心がけるべき教訓である。
01-09,"株式を 10 年間所有することを考えていない場合は、10 分でも所有することを考えないでください。(If you aren’t thinking about owning a stock for ten years, don’t even think about owning it for ten minutes.)",ウォール街の名言,
01-10,漁師は潮を見る,日本の相場格言,
01-11,強気相場は不安の壁を登る。弱気相場は希望の川を下る。(Bull markets climb a wall of worry; bear markets slide down a river of hope.),ウォール街の名言,
01-12,金融市場を支配しているのは数学ではない。市場を支配しているのは人間の心理だ。,ジョージ・ソロス,
01-13,辰巳天井、午尻下がり、未は辛抱、申酉騒ぎ、戌笑い、亥固まる、子は繁盛、丑つまずき、寅千里を走り、卯跳ねる,出典不明,各干支の年ごとの相場傾向をまとめた格言である。特定の年に値動きが荒くなる、または堅調になるなどの特徴があるとされている。ただし実際にその通りに推移する保証はないため、参考程度に留めておくべきである。
01-14,"重要なのは、あなたが正しいか間違っているかではなく、あなたが正しいときにどれだけのお金を稼ぎ、あなたが間違っているときにどれだけ失うかです。(It’s not whether you’re right or wrong that’s important, but how much money you make when you’re right and how much you lose when you’re wrong.)",ウォール街の名言,
01-15,損切りはすばやく,日本の相場格言,
01-16,"お金は、自分が良い人の手にあることを認識すると、その人の手にとどまり、数を増やしたいと思うようになります。(When money realizes that it is in good hands, it wants to stay and multiply in those hands.)",ウォール街の名言,
01-17,突発事件は売るな,日本の相場格言,
01-18,"投資は、ペンキが乾くのを見たり、草が生えるのを見たりするようなものであるべきです。興奮したいなら、800 ドル持ってラスベガスに行きましょう。 (Investing should be more like watching paint dry or watching grass grow. If you want excitement, take $800 and go to Las Vegas.)",ウォール街の名言,
01-19,日本には大きな長期的問題があり、基本的には日本人の不足が問題だ,ポール・クルーグマン,ノーベル経済学賞を受賞した米国の経済学者。コラムなどでの積極的な発言でも知られる。アベノミクスについては消費増税以外を高く評価しているが、日本の少子高齢化・人口減少による長期的な見通しについては悲観的な見方をしている。
01-20,"株式市場の面白い点の 1 つは、ある人が買うたびに別の人が売るということであり、両者は自分が抜け目ないと思っていることです。 (One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.)",ウォール街の名言,
01-21,万人があきれはてたる値が出れば、それが高下の界なりけり。,三猿金泉秘録,
01-22,物事はすべて確率論として見るべきで、絶対に正しいということはあり得ない,ロバート・ルービン,天才的なトレーダーとして知られ、ゴールドマン・サックス経営トップを経て米国財務長官、シティグループ経営執行委員会会長を歴任した。トレーディングと金融政策の両方を極めた人物であり、“すべて確率で考える”という合理主義・現実主義の考え方は、常人が模倣するには難しいものの、心構えとして紙に書いて貼る価値がある。
01-23,ウォール街や証券会社のセールスマンに今の推奨銘柄は何でしょうか？と聞くことは、床屋に行って今日は散髪したほうがいいかなと聞くようなものだ,ウォーレン・バフェット,オマハの賢人として知られる投資家・経営者。床屋＝金融機関のセールスという喩えが秀逸で、投資助言を鵜呑みにすることへの警鐘を鳴らしている。
01-24,"知っている人は言わず、言う人は知らない。(Those who know don’t tell, and those who tell don’t know.)",ウォール街の名言,
01-25,けなり売り（他をうらやんで売ること）、けなり買い、腹立ち売り、腹立ち買い、天井を売らず、底を買わず。右六ケ条、別して第一の事に侯。,八木虎之巻,
01-26,後悔に二つあり。今五六日待つときは十分取るべき利を、勝ちを急ぎ二三分取り逃がし侯後悔、これは笑うてしまう後悔なり。また七八分利運のとき仕舞いかね候うち、引き下げ損出ずる後悔、これは苦労いたし候うえの後悔ゆえ、甚だ心気を痛むる後悔なり。,宗久翁秘録,
01-27,相場の器用貧乏,日本の相場格言,小手先の対応では大きな成果は出せない。相場ではどっしりと構える姿勢が重要という教訓。
01-28,預貯金投資で大金持ちになった大富豪を何人知っていますか？私はそう思います。(How many millionaires do you know who have become wealthy by investing in savings accounts? I rest my case.),ウォール街の名言,
01-29,相場に過去はない,日本の相場格言,
01-30,私が知るかぎりで、こんな簡単にこれほどの報酬を得られる分野はほかにはない。,フィリップ・フィッシャー,長期投資の効率性と可能性の高さを端的に表現した格言である。負荷の少ない長期保有がもたらす報酬の魅力を説いている。
01-31,必ずしも市場にいる必要はない,日本の相場格言,
02-01,資産形成とは、お金との対話である,竹川美奈子,
02-02,2日新甫は荒れる,アノマリー,その月最初の取引日を「新甫」といい、たとえば1日が休日の場合、最初の取引日は2日になる。このとき相場は大きく変動しやすい傾向にあるため「2日新甫は荒れる」というアノマリーが生まれた。
02-03,節分天井、彼岸底,アノマリー,2月上旬の節分頃に株価が天井をつけ、3月中旬の春彼岸に向けて下落するという株式相場の季節的な傾向を表す言葉。お彼岸は春分・秋分の日を中心にした前後3日間の計7日間を指し、3月は企業決算などのイベントが多く、調整局面に入りやすい。
02-04,売り買いは腹八分,日本の相場格言,最高値・最安値を狙いすぎず、自分の判断でほどよいところで売買すべきという戒め。また投資には余裕資金を用いるべきという意味も。
02-05,最高の投資は、実行しない投資である場合がある。(Sometimes your best investments are the ones you don't make.),ウォール街の名言,
02-06,バラを切るごとく売るべし,日本の相場格言,
02-07,株式市場は常に、最も多くの人々が愚かに見えるようなことをする。(The stock market will always do whatever makes the greatest number of people look foolish.),ウォール街の名言,
02-08,美人投票,日本の相場格言,
02-09,投資には時間と忍耐が必要だ。短期的な成果にとらわれてはならない,澤上篤人,
02-10,ぬれ手にアワはつかめない,日本の相場格言,
02-11,投資の第一のルールは「失うな」。 2 つ目のルールは、最初のルールを忘れないこと、だ。(The first rule of investment is: Don’t Lose. And the second rule of investment is: Don’t forget the first rule.),ウォール街の名言,
02-12,明日は明日の風が吹く,日本の相場格言,
02-13,個人投資家は、投機家としてではなく、一貫して投資家として行動する必要がある。(The individual investor should act consistently as an investor and not as a speculator.),ウォール街の名言,
02-14,売り買いは三日待て,日本の相場格言,
02-15,十人が十人片寄るときは決して（必ず）その裏くるものなり。,宗久翁秘録,
02-16,干し草の山から針を探すな。干し草の山を買うだけ！ (Don’t look for the needle in the haystack. Just buy the haystack!),ウォール街の名言,
02-17,並の会社をバーゲン価格で買うよりも素晴らしい会社を適切な価格で買う方が断然良い。,ウォーレン・バフェット,
02-18,"投資家は歴史に基づくモデルには懐疑的であるべきです。ベータ、ガンマ、シグマなどの難解な用語を使って、オタクっぽい聖職者によって構築されたこれらのモデルは、印象的に見える傾向があります。しかし、多くの場合、投資家はモデルの背後にある仮定を検証することを忘れている。数式を掲げるオタクに気をつけよう。(Investors should be skeptical of history-based models. Constructed by a nerdy-sounding priesthood using esoteric terms such as beta, gamma, sigma and the like, these models tend to look impressive. Too often, though, investors forget to examine the assumptions behind the models. Beware of geeks bearing formulas.)",ウォール街の名言,
02-19,相場は明日もある,出典不明,投資のチャンスを逃したり、焦って失敗した場合でも、相場は明日もあるので冷静になろうという意味の格言である。よい銘柄であれば、多少タイミングが遅れても影響は少ない。焦らず、確信を持って売買に臨むことが大切である。
02-20,破壊的イノベーションの初期段階では、多くの人がその可能性を過小評価する,キャシー・ウッド,
02-21,"安く買って高く売る。(Buy low, sell high.)",ウォール街の名言,
02-22,人が売るときに買い、人が買うときには売れ（Buy when others sell; Sell when others buy.）,ウォール街,
02-23,すぐれた投資家はリターンを生み出す能力と少なくとも同じぐらい、リスクをコントロールする能力を持っている。,ハワード・マークス,リターンだけでなく、リスク管理の重要性を強調している。リスクへの警戒を怠らず、バランスのとれた視点が必要だと説いている。
02-24,株を選ぶ前に時を選べ,ウォール街,
02-25,いつとても売り落城の強峠、こわいところを売るが極意ぞ。,三猿金泉秘録,
02-26,世界経済の発展は、国際社会の発展と一致するものではない。,ジョージ・ソロス,
02-27,アタマとシッポはくれてやれ,日本の相場格言,
02-28,大統領サイクル,アノマリー,米国大統領選挙のサイクルと株価のあいだにも相互関係がある、と考えるアノマリーのこと。「4年周期の選挙にともなって支持率を意識した政策が出される」「大統領選挙の年に向かって株価は上昇する傾向にある」などが要因といわれている。
02-29,小回り三月 大回り三年,アノマリー,
03-01,将来の生産性ではなく将来の価格変動を当てにしているとしたら、それは投機というものだ,ウォーレン・バフェット,
03-02,お金で幸せは買えないが、より楽しい形の不幸は手に入る。(Money can't buy you happiness but it does bring you a more pleasant form of misery.),ウォール街の名言,
03-03,見切り千両,日本の相場格言,購入した株がジリジリと値下がりする状況で、戻りを期待して持ち続けても保証はない。戻るとしても長い時間がかかることもあり、その間ずっとストレスを抱えるくらいなら、タイミングを見て思い切って売り、捲土重来を期すべきだと教える格言である。実行は難しいが重要な心構えである。
03-04,株式仲買人とは、あらゆるものの価格と無の価値を知っている人です。 (A stockbroker is a guy who knows the price of everything and the value of nothing.),ウォール街の名言,
03-05,大保合いは大相場,日本の相場格言,
03-06,"世界の広範な金融危機に共通するテーマが 1 つあるとすれば、それは、政府、銀行、企業、または消費者のいずれによるものであれ、過剰な債務の蓄積が好況期に思われるよりも大きなシステミック リスクをもたらすことが多いということです。(If there is one common theme to the vast range of the world’s financial crises, it is that excessive debt accumulation, whether by the government, banks, corporations, or consumers, often poses greater systemic risks than it seems during a boom.)",ウォール街の名言,
03-07,投資の本質は将来を予測すること。,ジョージ・ソロス,
03-08,投資で大切なのは、企業の価値を正しく見極めること。それができれば、時間が味方になる,竹田和平,
03-09,押目待ちの押目なし,日本の相場格言,買い場を待っているうちに株価が上がり、買う機会を失うことがあるという戒め。逆の格言に『戻り待ちの戻りなし』もある。
03-10,百貫の力量あるものが、常に百貫の全力を一杯に用いることは誤りである。よろしく七十貫の力を常に用いて、余りの三十貫は貯蓄しておくべきである。こうすれば、一朝事があった場合には、百二十貫の力を出すことも出来よう,高橋是清,第20代内閣総理大臣であり、その後は大蔵大臣として昭和金融恐慌を沈静化。世界恐慌後には金本位制停止と財政出動によってデフレからの脱却に成功した。この発言は「平時は全力を使わず、非常時のために余力を残しておくべきだ」という投資にも通じる教訓である。
03-11,"何百万人もの人が経済的自由を望みますが、それを優先させた人だけが何百万ものお金を手にすることができるのだ。(Millions wish for financial freedom, but only those that make it a priority have millions.)",ウォール街の名言,
03-12,価値が8300万ドルの授業を8000万ドルで買おうとしてはいけません。大きな余裕をみることが肝心なのです。余裕幅が少なければリスクは大きくなり、余裕幅が大きければリスクは少なくなるのです。,ウォーレン・バフェット,
03-13,"雄牛は儲け、熊は儲け、豚は屠殺される。(Bulls make money, bears make money, pigs (or hogs) get slaughtered.)",ウォール街の名言,
03-14,相場師は孤独を愛す,日本の相場格言,
03-15,"投資では、快適なものが利益をもたらすことはめったにありません。(In investing, what is comfortable is rarely profitable.)",ウォール街の名言,
03-16,「もう」はまだなり、「まだ」はもうなり,八木虎之巻、宗久翁秘録,「もうこれ以上は相場が上がらないだろう」と思っていたのに、まだ天井ではなく上がり続けたり、「まだ相場は下がらないだろう」と思っていたら、どんどん下がってしまうことはよくある話である。2018年の日経平均では1月に高値をつけた後、軟調な相場が続き、10月に27年ぶりの高値を更新したものの、その後は急落した。周囲が「まだ上がる」と思っているときに「もう上がり切った」と判断できれば、冷静な行動ができたかもしれない。このように、逆のパターンも考慮して柔軟な判断を行うことが重要である。
03-17,"たくさんのお金を持っているのはいいことですが、それを永遠に持ち続けたいとは思わないでしょう。私は物を買うほうが好きです。そうでなければ、老後のためにセックスを取っておくようなものです。(It’s nice to have a lot of money, but you know, you don’t want to keep it around forever. I prefer buying things. Otherwise, it’s a little like saving sex for your old age.)",ウォール街の名言,
03-18,私たちの現実理解がどこまで到達できるかという点に関して限界はない。私たちの社会は改善の余地が無限なのである。,ジョージ・ソロス,
03-19,買いやすい相場は安い,日本の相場格言,
03-20,節分天井彼岸底,出典不明,年初の上昇が節分（2月上旬）で天井を迎え、彼岸（3月下旬）に向けて下がっていくという季節の相場傾向を表す格言である。必ずしもその通りに動くわけではないが、季節やイベントによる需給変動を意識するきっかけとなる。
03-21,もし投資が面白くて、楽しいのならば、おそらくお金を作り出すことは出来ない。良い投資というのは退屈なものなのだよ。成功すれば、人は自分の考えに関心を示してくれるはず。,ジョージ・ソロス,
03-22,広範な分散投資は、投資家が何をやっているのか理解していない場合にのみ必要である。(Wide diversification is only required when investors do not understand what they are doing.),ウォール街の名言,
03-23,株式投資の極意は、良い銘柄を見つけて、良いタイミングで買い、良い銘柄である限りそれを持ち続けること。これに尽きる。,ウォーレン・バフェット,株式投資の成功法則をシンプルに表現した言葉である。実践は容易ではないが、基本に忠実であることの重要性を説いている。
03-24,天井を買わず、底を売らず。ただし第一の心得なり。上がるときも下がるときも天井底を知らざるゆえ、この上何程上がる下がるかと、上げ留まり（騰落に限度のあること）の考えもなく買い募り売り募るゆえ、つまり損するなり。上げ過ごすときはその後必ず下がると心得べし。下がるときは必ず上がると心得べし。そのとき欲を離れ思い入れを立つべし。,宗久翁秘録,
03-25,万人が万人ながら弱気なら、のぼるべき理をふくむ米なり。,三猿金泉秘録,
03-26,時代遅れになるような原則は、原則ではない。,ウォーレン・バフェット,
03-27,私たちが探すのは、指数関数的な成長カーブに乗っている企業だ,キャシー・ウッド,
03-28,株式市場の主な目的は、できるだけ多くの人を馬鹿にすることです。(The main purpose of the stock market is to make fools of as many men as possible.),ウォール街の名言,
03-29,行き過ぎもまた相場,日本の相場格言,株価はときに企業の実体以上に上がることも下がることもあるという教訓である。理屈では説明がつかない動きをするのが相場であり、猛スピードの車が急に止まれないように、株価にも行き過ぎがあることを知るべきである。
03-30,"自分が何を所有しているかを知り、なぜそれを所有しているかを知る。(Know what you own, and know why you own it.)",ウォール街の名言,
03-31,明日ありと思う心のあだ桜,日本の相場格言,
04-01,4月に日本株が買われやすい,アノマリー,新年度の配分が4月から5月にあり、また新年度で機関投資家からの買いが入るため、4月の日本株は買われやすいとされている。これは日本人投資家だけでなく外国人投資家も同様である。配当利回りが高く、外国人保有株比率の高い銘柄ほどこのアノマリーが当てはまりやすくなる。
04-02,私は 7 フィートのバーを飛び越えるつもりはありません。乗り越えられる片足のバーを探します。(I don’t look to jump over seven-foot bars; I look around for one-foot bars that I can step over.),ウォール街の名言,
04-03,閑散に売りなし,日本の相場格言,相場が動かない時に売ると損をする可能性がある。閑散期の売りには注意が必要という教え。
04-04,どうせ苦労するなら楽しむ方が得。,ウォーレン・バフェット,
04-05,楽観主義者は儲かるが、慎重な人が生き残る,ハワード・マークス,
04-06,事件会社の株は敬遠すべし,日本の相場格言,不祥事など事件を起こした企業への投資は避けるべき。事件が落ち着くまで待つか、投資対象にしないのが賢明。
04-07,"経済的な安らぎとは、物を手に入れることではありません。少ない収入で生活することを学び、お金を還元し、投資する資金を得ることです。これをしない限り、勝つことはできないのです。(Financial peace isn’t the acquisition of stuff. It’s learning to live on less than you make, so you can give money back and have money to invest. You can’t win until you do this.)",ウォール街の名言,
04-08,相場に王道なし,日本の相場格言,株式投資は日々の学習と努力、そして自己判断が求められる世界。誰かの意見に頼ってもうまくいかない。
04-09,疑わしいときは何もするな,ウォール街,
04-10,資産家は恐慌時に生まれる,日本の相場格言,相場全体が総悲観のときに勇気を出して買いに出られる人が本物の資産家になれるという教え。
04-11,天井三日　底百日,出典不明,相場が高値圏にとどまるのは短く、天井は3日程度で終わるのに対し、底に沈んだ相場は100日も続くことがあるという意味である。短期トレーダーにとっては、利益確定のチャンスは非常に短い。2018年には日経平均が1月に高値をつけた後、軟調な相場が長期間続き、この格言を裏付けるような展開となった。事前に利益確定ラインを決めておくことが重要である。
04-12,お金を稼ぐにはお金がかかる。(It takes money to make money.),ウォール街の名言,
04-13,売りは早かれ 買いは遅かれ,日本の相場格言,売りのチャンスは短く、買い場は多いという相場の性質から、売りは素早く、買いはじっくりと行うべきという教え。
04-14,十二支のアノマリー,アノマリー,干支（十二支）にまつわるアノマリーもある。最後の干支「亥（いのしし）年」には「亥（いのしし）固まる」という相場格言がある。これは株価急落や凍り付いて固まるという意味ではなく、最初の干支「子」に循環するためエネルギーを蓄えておくという意味である。株式相場では次の段階へ進む根固め期間と考えており、事実過去には小幅な値動きにとどまる年もあった。ただしリーマンショックの前年や原油価格高騰による世界株安などの影響を受けた年もあったため、実際の投資に有効と判断するのは難しいとする声もある。
04-15,現実的に金融市場を理解することは果てしない過程である。,ジョージ・ソロス,
04-16,幸運な１％として生まれた人間は、残りの９９％の人間のことを考える義務がある,ウォーレン・バフェット,
04-17,"ストックピッカーと占星術師を比較したいが、占星術師の悪口は言いたくない。(I’d compare stock pickers to astrologers, but I don’t want to bad mouth astrologers.)",ウォール街の名言,
04-18,金を持っていれば、ある程度、周りの環境を面白おかしく変えることができる。しかし、いくら金を持っていても、愛情や健康を買うことはできない。,ウォーレン・バフェット,
04-19,株価の里帰り,日本の相場格言,
04-20,胴元にとってよいことは、顧客にとってよいことではないことを投資家は理解すべきです。,ウォーレン・バフェット,
04-21,二番底は黙って買え,出典不明,相場が一度底を打って反発し、再度下落した際に一番底を割らずに反発する場面が「二番底」である。この二番底は、上昇トレンドへの転換点であることが多く、「黙って買え」とされる。ただし必ず上昇するとは限らず、三番底となる場合もあるため注意が必要である。それでも実際には二番底からの反転が多いため、覚えておくべき格言である。
04-22,成功への道は市場が間違っているときを知ることではなく、市場より良い判断をすることだ,ハワード・マークス,
04-23,まず投資し、そして後に調査しろ。,ジョージ・ソロス,
04-24,売り買い休みの三筋道,日本の相場格言,
04-25,お金は常に、それを使おうとする人のために働く準備ができている。(Money is always eager and ready to work for anyone who is ready to employ it.),ウォール街の名言,
